State,Year,Month,Period,Indicator,Data Value
HAWAII,2021,July,Monthly,Number of Deaths,1001
IDAHO,2021,July,Monthly,Number of Deaths,1391
ILLINOIS,2021,July,Monthly,Number of Deaths,9499
INDIANA,2021,July,Monthly,Number of Deaths,5756
IOWA,2021,July,Monthly,Number of Deaths,2588
KANSAS,2021,July,Monthly,Number of Deaths,2465
KENTUCKY,2021,July,Monthly,Number of Deaths,4485
LOUISIANA,2021,July,Monthly,Number of Deaths,4664
MAINE,2021,July,Monthly,Number of Deaths,1348
MARYLAND,2021,July,Monthly,Number of Deaths,4160
MASSACHUSETTS,2021,July,Monthly,Number of Deaths,4750
MICHIGAN,2021,July,Monthly,Number of Deaths,8499
MINNESOTA,2021,July,Monthly,Number of Deaths,3901
MISSISSIPPI,2021,July,Monthly,Number of Deaths,3222
MISSOURI,2021,July,Monthly,Number of Deaths,6168
MONTANA,2021,July,Monthly,Number of Deaths,987
NEBRASKA,2021,July,Monthly,Number of Deaths,1416
NEVADA,2021,July,Monthly,Number of Deaths,2771
NEW HAMPSHIRE,2021,July,Monthly,Number of Deaths,1091
NEW JERSEY,2021,July,Monthly,Number of Deaths,6124
NEW MEXICO,2021,July,Monthly,Number of Deaths,1808
NEW YORK,2021,July,Monthly,Number of Deaths,12898
NORTH CAROLINA,2021,July,Monthly,Number of Deaths,8730
NORTH DAKOTA,2021,July,Monthly,Number of Deaths,551
OHIO,2021,July,Monthly,Number of Deaths,10357
OKLAHOMA,2021,July,Monthly,Number of Deaths,3864
OREGON,2021,July,Monthly,Number of Deaths,3549
PENNSYLVANIA,2021,July,Monthly,Number of Deaths,10994
RHODE ISLAND,2021,July,Monthly,Number of Deaths,793
SOUTH CAROLINA,2021,July,Monthly,Number of Deaths,4822
SOUTH DAKOTA,2021,July,Monthly,Number of Deaths,700
TENNESSEE,2021,July,Monthly,Number of Deaths,6427
TEXAS,2021,July,Monthly,Number of Deaths,19562
UTAH,2021,July,Monthly,Number of Deaths,1845
VERMONT,2021,July,Monthly,Number of Deaths,546
VIRGINIA,2021,July,Monthly,Number of Deaths,6347
WASHINGTON,2021,July,Monthly,Number of Deaths,5526
WEST VIRGINIA,2021,July,Monthly,Number of Deaths,2045
WISCONSIN,2021,July,Monthly,Number of Deaths,4612
WYOMING,2021,July,Monthly,Number of Deaths,471
PUERTO RICO,2021,July,Monthly,Number of Deaths,2666
ALABAMA,2021,August,Monthly,Number of Deaths,6783
ALASKA,2021,August,Monthly,Number of Deaths,611
ARIZONA,2021,August,Monthly,Number of Deaths,6667
ARKANSAS,2021,August,Monthly,Number of Deaths,4016
CALIFORNIA,2021,August,Monthly,Number of Deaths,27026
COLORADO,2021,August,Monthly,Number of Deaths,3896
CONNECTICUT,2021,August,Monthly,Number of Deaths,2775
DELAWARE,2021,August,Monthly,Number of Deaths,924
DISTRICT OF COLUMBIA,2021,August,Monthly,Number of Deaths,472
FLORIDA,2021,August,Monthly,Number of Deaths,29827
GEORGIA,2021,August,Monthly,Number of Deaths,10960
HAWAII,2021,August,Monthly,Number of Deaths,1225
IDAHO,2021,August,Monthly,Number of Deaths,1532
ILLINOIS,2021,August,Monthly,Number of Deaths,10133
INDIANA,2021,August,Monthly,Number of Deaths,6451
IOWA,2021,August,Monthly,Number of Deaths,2781
KANSAS,2021,August,Monthly,Number of Deaths,2787
KENTUCKY,2021,August,Monthly,Number of Deaths,5272
LOUISIANA,2021,August,Monthly,Number of Deaths,6144
MAINE,2021,August,Monthly,Number of Deaths,1357
MARYLAND,2021,August,Monthly,Number of Deaths,4363
MASSACHUSETTS,2021,August,Monthly,Number of Deaths,4936
MICHIGAN,2021,August,Monthly,Number of Deaths,8974
MINNESOTA,2021,August,Monthly,Number of Deaths,4079
MISSISSIPPI,2021,August,Monthly,Number of Deaths,4339
MISSOURI,2021,August,Monthly,Number of Deaths,7019
MONTANA,2021,August,Monthly,Number of Deaths,1140
NEBRASKA,2021,August,Monthly,Number of Deaths,1569
NEVADA,2021,August,Monthly,Number of Deaths,3001
NEW HAMPSHIRE,2021,August,Monthly,Number of Deaths,1127
NEW JERSEY,2021,August,Monthly,Number of Deaths,6512
NEW MEXICO,2021,August,Monthly,Number of Deaths,2045
NEW YORK,2021,August,Monthly,Number of Deaths,14040
NORTH CAROLINA,2021,August,Monthly,Number of Deaths,10401
NORTH DAKOTA,2021,August,Monthly,Number of Deaths,555
OHIO,2021,August,Monthly,Number of Deaths,11373
OKLAHOMA,2021,August,Monthly,Number of Deaths,4824
OREGON,2021,August,Monthly,Number of Deaths,4047
PENNSYLVANIA,2021,August,Monthly,Number of Deaths,11661
RHODE ISLAND,2021,August,Monthly,Number of Deaths,900
SOUTH CAROLINA,2021,August,Monthly,Number of Deaths,5936
SOUTH DAKOTA,2021,August,Monthly,Number of Deaths,737
TENNESSEE,2021,August,Monthly,Number of Deaths,8167
TEXAS,2021,August,Monthly,Number of Deaths,26196
UTAH,2021,August,Monthly,Number of Deaths,1956
VERMONT,2021,August,Monthly,Number of Deaths,560
VIRGINIA,2021,August,Monthly,Number of Deaths,7117
WASHINGTON,2021,August,Monthly,Number of Deaths,5968
WEST VIRGINIA,2021,August,Monthly,Number of Deaths,2447
WISCONSIN,2021,August,Monthly,Number of Deaths,4978
WYOMING,2021,August,Monthly,Number of Deaths,593
PUERTO RICO,2021,August,Monthly,Number of Deaths,3040
ALABAMA,2021,September,Monthly,Number of Deaths,6896
ALASKA,2021,September,Monthly,Number of Deaths,663
ARIZONA,2021,September,Monthly,Number of Deaths,6790
ARKANSAS,2021,September,Monthly,Number of Deaths,3664
CALIFORNIA,2021,September,Monthly,Number of Deaths,27207
COLORADO,2021,September,Monthly,Number of Deaths,4083
CONNECTICUT,2021,September,Monthly,Number of Deaths,2786
DELAWARE,2021,September,Monthly,Number of Deaths,945
DISTRICT OF COLUMBIA,2021,September,Monthly,Number of Deaths,446
FLORIDA,2021,September,Monthly,Number of Deaths,26648
GEORGIA,2021,September,Monthly,Number of Deaths,11882
HAWAII,2021,September,Monthly,Number of Deaths,1260
IDAHO,2021,September,Monthly,Number of Deaths,1999
ILLINOIS,2021,September,Monthly,Number of Deaths,10357
INDIANA,2021,September,Monthly,Number of Deaths,7180
IOWA,2021,September,Monthly,Number of Deaths,3056
KANSAS,2021,September,Monthly,Number of Deaths,2864
KENTUCKY,2021,September,Monthly,Number of Deaths,6162
LOUISIANA,2021,September,Monthly,Number of Deaths,5423
MAINE,2021,September,Monthly,Number of Deaths,1451
MARYLAND,2021,September,Monthly,Number of Deaths,4762
MASSACHUSETTS,2021,September,Monthly,Number of Deaths,4957
MICHIGAN,2021,September,Monthly,Number of Deaths,9198
MINNESOTA,2021,September,Monthly,Number of Deaths,4268
MISSISSIPPI,2021,September,Monthly,Number of Deaths,4056
MISSOURI,2021,September,Monthly,Number of Deaths,6402
MONTANA,2021,September,Monthly,Number of Deaths,1266
NEBRASKA,2021,September,Monthly,Number of Deaths,1608
NEVADA,2021,September,Monthly,Number of Deaths,2913
NEW HAMPSHIRE,2021,September,Monthly,Number of Deaths,1128
NEW JERSEY,2021,September,Monthly,Number of Deaths,6663
NEW MEXICO,2021,September,Monthly,Number of Deaths,2165
NEW YORK,2021,September,Monthly,Number of Deaths,14092
NORTH CAROLINA,2021,September,Monthly,Number of Deaths,11089
NORTH DAKOTA,2021,September,Monthly,Number of Deaths,654
OHIO,2021,September,Monthly,Number of Deaths,12951
OKLAHOMA,2021,September,Monthly,Number of Deaths,4895
OREGON,2021,September,Monthly,Number of Deaths,4301
PENNSYLVANIA,2021,September,Monthly,Number of Deaths,12435
RHODE ISLAND,2021,September,Monthly,Number of Deaths,878
SOUTH CAROLINA,2021,September,Monthly,Number of Deaths,6562
SOUTH DAKOTA,2021,September,Monthly,Number of Deaths,835
TENNESSEE,2021,September,Monthly,Number of Deaths,9535
TEXAS,2021,September,Monthly,Number of Deaths,26894
UTAH,2021,September,Monthly,Number of Deaths,2040
VERMONT,2021,September,Monthly,Number of Deaths,653
VIRGINIA,2021,September,Monthly,Number of Deaths,7463
WASHINGTON,2021,September,Monthly,Number of Deaths,6423
WEST VIRGINIA,2021,September,Monthly,Number of Deaths,2923
WISCONSIN,2021,September,Monthly,Number of Deaths,5263
WYOMING,2021,September,Monthly,Number of Deaths,639
PUERTO RICO,2021,September,Monthly,Number of Deaths,2901
ALABAMA,2021,October,Monthly,Number of Deaths,5708
ALASKA,2021,October,Monthly,Number of Deaths,738
ARIZONA,2021,October,Monthly,Number of Deaths,6802
ARKANSAS,2021,October,Monthly,Number of Deaths,3477
CALIFORNIA,2021,October,Monthly,Number of Deaths,27129
COLORADO,2021,October,Monthly,Number of Deaths,4513
CONNECTICUT,2021,October,Monthly,Number of Deaths,2878
DELAWARE,2021,October,Monthly,Number of Deaths,1016
DISTRICT OF COLUMBIA,2021,October,Monthly,Number of Deaths,508
FLORIDA,2021,October,Monthly,Number of Deaths,21150
GEORGIA,2021,October,Monthly,Number of Deaths,9451
HAWAII,2021,October,Monthly,Number of Deaths,1134
IDAHO,2021,October,Monthly,Number of Deaths,2119
ILLINOIS,2021,October,Monthly,Number of Deaths,10555
INDIANA,2021,October,Monthly,Number of Deaths,7062
IOWA,2021,October,Monthly,Number of Deaths,3205
KANSAS,2021,October,Monthly,Number of Deaths,2760
KENTUCKY,2021,October,Monthly,Number of Deaths,5501
LOUISIANA,2021,October,Monthly,Number of Deaths,4562
MAINE,2021,October,Monthly,Number of Deaths,1607
MARYLAND,2021,October,Monthly,Number of Deaths,4962
MASSACHUSETTS,2021,October,Monthly,Number of Deaths,5326
MICHIGAN,2021,October,Monthly,Number of Deaths,10208
MINNESOTA,2021,October,Monthly,Number of Deaths,4714
MISSISSIPPI,2021,October,Monthly,Number of Deaths,3230
MISSOURI,2021,October,Monthly,Number of Deaths,6100
MONTANA,2021,October,Monthly,Number of Deaths,1447
NEBRASKA,2021,October,Monthly,Number of Deaths,1782
NEVADA,2021,October,Monthly,Number of Deaths,2848
NEW HAMPSHIRE,2021,October,Monthly,Number of Deaths,1260
NEW JERSEY,2021,October,Monthly,Number of Deaths,7045
NEW MEXICO,2021,October,Monthly,Number of Deaths,2176
NEW YORK,2021,October,Monthly,Number of Deaths,14903
NORTH CAROLINA,2021,October,Monthly,Number of Deaths,10347
NORTH DAKOTA,2021,October,Monthly,Number of Deaths,780
OHIO,2021,October,Monthly,Number of Deaths,13719
OKLAHOMA,2021,October,Monthly,Number of Deaths,4341
OREGON,2021,October,Monthly,Number of Deaths,4233
PENNSYLVANIA,2021,October,Monthly,Number of Deaths,13800
RHODE ISLAND,2021,October,Monthly,Number of Deaths,941
SOUTH CAROLINA,2021,October,Monthly,Number of Deaths,5737
SOUTH DAKOTA,2021,October,Monthly,Number of Deaths,837
TENNESSEE,2021,October,Monthly,Number of Deaths,7970
TEXAS,2021,October,Monthly,Number of Deaths,22775
UTAH,2021,October,Monthly,Number of Deaths,2178
VERMONT,2021,October,Monthly,Number of Deaths,632
VIRGINIA,2021,October,Monthly,Number of Deaths,7791
WASHINGTON,2021,October,Monthly,Number of Deaths,6299
WEST VIRGINIA,2021,October,Monthly,Number of Deaths,2821
WISCONSIN,2021,October,Monthly,Number of Deaths,5720
WYOMING,2021,October,Monthly,Number of Deaths,744
PUERTO RICO,2021,October,Monthly,Number of Deaths,2732
ALABAMA,2021,November,Monthly,Number of Deaths,5128
ALASKA,2021,November,Monthly,Number of Deaths,608
ARIZONA,2021,November,Monthly,Number of Deaths,7337
ARKANSAS,2021,November,Monthly,Number of Deaths,3261
CALIFORNIA,2021,November,Monthly,Number of Deaths,25741
COLORADO,2021,November,Monthly,Number of Deaths,4891
CONNECTICUT,2021,November,Monthly,Number of Deaths,2977
DELAWARE,2021,November,Monthly,Number of Deaths,933
DISTRICT OF COLUMBIA,2021,November,Monthly,Number of Deaths,463
FLORIDA,2021,November,Monthly,Number of Deaths,19052
GEORGIA,2021,November,Monthly,Number of Deaths,8536
HAWAII,2021,November,Monthly,Number of Deaths,1031
IDAHO,2021,November,Monthly,Number of Deaths,1723
ILLINOIS,2021,November,Monthly,Number of Deaths,10720
INDIANA,2021,November,Monthly,Number of Deaths,7039
IOWA,2021,November,Monthly,Number of Deaths,3172
KANSAS,2021,November,Monthly,Number of Deaths,2754
KENTUCKY,2021,November,Monthly,Number of Deaths,5005
LOUISIANA,2021,November,Monthly,Number of Deaths,4344
MAINE,2021,November,Monthly,Number of Deaths,1676
MARYLAND,2021,November,Monthly,Number of Deaths,4674
MASSACHUSETTS,2021,November,Monthly,Number of Deaths,5456
MICHIGAN,2021,November,Monthly,Number of Deaths,11574
MINNESOTA,2021,November,Monthly,Number of Deaths,5080
MISSISSIPPI,2021,November,Monthly,Number of Deaths,3131
MISSOURI,2021,November,Monthly,Number of Deaths,6096
MONTANA,2021,November,Monthly,Number of Deaths,1225
NEBRASKA,2021,November,Monthly,Number of Deaths,1741
NEVADA,2021,November,Monthly,Number of Deaths,2745
NEW HAMPSHIRE,2021,November,Monthly,Number of Deaths,1304
NEW JERSEY,2021,November,Monthly,Number of Deaths,6819
NEW MEXICO,2021,November,Monthly,Number of Deaths,2408
NEW YORK,2021,November,Monthly,Number of Deaths,15165
NORTH CAROLINA,2021,November,Monthly,Number of Deaths,9408
NORTH DAKOTA,2021,November,Monthly,Number of Deaths,735
OHIO,2021,November,Monthly,Number of Deaths,13438
OKLAHOMA,2021,November,Monthly,Number of Deaths,3929
OREGON,2021,November,Monthly,Number of Deaths,3766
PENNSYLVANIA,2021,November,Monthly,Number of Deaths,14008
RHODE ISLAND,2021,November,Monthly,Number of Deaths,983
SOUTH CAROLINA,2021,November,Monthly,Number of Deaths,5175
SOUTH DAKOTA,2021,November,Monthly,Number of Deaths,893
TENNESSEE,2021,November,Monthly,Number of Deaths,7220
TEXAS,2021,November,Monthly,Number of Deaths,20170
UTAH,2021,November,Monthly,Number of Deaths,2058
VERMONT,2021,November,Monthly,Number of Deaths,632
VIRGINIA,2021,November,Monthly,Number of Deaths,7299
WASHINGTON,2021,November,Monthly,Number of Deaths,5875
WEST VIRGINIA,2021,November,Monthly,Number of Deaths,2655
WISCONSIN,2021,November,Monthly,Number of Deaths,5786
WYOMING,2021,November,Monthly,Number of Deaths,656
PUERTO RICO,2021,November,Monthly,Number of Deaths,2631
ALABAMA,2021,December,Monthly,Number of Deaths,5425
ALASKA,2021,December,Monthly,Number of Deaths,565
ARIZONA,2021,December,Monthly,Number of Deaths,8385
ARKANSAS,2021,December,Monthly,Number of Deaths,3616
CALIFORNIA,2021,December,Monthly,Number of Deaths,28715
COLORADO,2021,December,Monthly,Number of Deaths,4916
CONNECTICUT,2021,December,Monthly,Number of Deaths,3321
DELAWARE,2021,December,Monthly,Number of Deaths,1091
DISTRICT OF COLUMBIA,2021,December,Monthly,Number of Deaths,520
FLORIDA,2021,December,Monthly,Number of Deaths,20239
GEORGIA,2021,December,Monthly,Number of Deaths,9170
HAWAII,2021,December,Monthly,Number of Deaths,1071
IDAHO,2021,December,Monthly,Number of Deaths,1650
ILLINOIS,2021,December,Monthly,Number of Deaths,12551
INDIANA,2021,December,Monthly,Number of Deaths,8076
IOWA,2021,December,Monthly,Number of Deaths,3579
KANSAS,2021,December,Monthly,Number of Deaths,3255
KENTUCKY,2021,December,Monthly,Number of Deaths,5725
LOUISIANA,2021,December,Monthly,Number of Deaths,4412
MAINE,2021,December,Monthly,Number of Deaths,1826
MARYLAND,2021,December,Monthly,Number of Deaths,5473
MASSACHUSETTS,2021,December,Monthly,Number of Deaths,6183
MICHIGAN,2021,December,Monthly,Number of Deaths,13076
MINNESOTA,2021,December,Monthly,Number of Deaths,5548
MISSISSIPPI,2021,December,Monthly,Number of Deaths,3360
MISSOURI,2021,December,Monthly,Number of Deaths,6937
MONTANA,2021,December,Monthly,Number of Deaths,1125
NEBRASKA,2021,December,Monthly,Number of Deaths,1901
NEVADA,2021,December,Monthly,Number of Deaths,2922
NEW HAMPSHIRE,2021,December,Monthly,Number of Deaths,1469
NEW JERSEY,2021,December,Monthly,Number of Deaths,7869
NEW MEXICO,2021,December,Monthly,Number of Deaths,2823
NEW YORK,2021,December,Monthly,Number of Deaths,17091
NORTH CAROLINA,2021,December,Monthly,Number of Deaths,10388
NORTH DAKOTA,2021,December,Monthly,Number of Deaths,762
OHIO,2021,December,Monthly,Number of Deaths,16051
OKLAHOMA,2021,December,Monthly,Number of Deaths,4598
OREGON,2021,December,Monthly,Number of Deaths,4077
PENNSYLVANIA,2021,December,Monthly,Number of Deaths,16063
RHODE ISLAND,2021,December,Monthly,Number of Deaths,1161
SOUTH CAROLINA,2021,December,Monthly,Number of Deaths,5504
SOUTH DAKOTA,2021,December,Monthly,Number of Deaths,924
TENNESSEE,2021,December,Monthly,Number of Deaths,7983
TEXAS,2021,December,Monthly,Number of Deaths,21323
UTAH,2021,December,Monthly,Number of Deaths,2125
VERMONT,2021,December,Monthly,Number of Deaths,644
VIRGINIA,2021,December,Monthly,Number of Deaths,7926
WASHINGTON,2021,December,Monthly,Number of Deaths,6140
WEST VIRGINIA,2021,December,Monthly,Number of Deaths,2847
WISCONSIN,2021,December,Monthly,Number of Deaths,6487
WYOMING,2021,December,Monthly,Number of Deaths,543
PUERTO RICO,2021,December,Monthly,Number of Deaths,2837
ALABAMA,2022,January,Monthly,Number of Deaths,6824
ALASKA,2022,January,Monthly,Number of Deaths,535
ARIZONA,2022,January,Monthly,Number of Deaths,8446
ARKANSAS,2022,January,Monthly,Number of Deaths,4084
CALIFORNIA,2022,January,Monthly,Number of Deaths,34795
COLORADO,2022,January,Monthly,Number of Deaths,5115
CONNECTICUT,2022,January,Monthly,Number of Deaths,3995
DELAWARE,2022,January,Monthly,Number of Deaths,1316
DISTRICT OF COLUMBIA,2022,January,Monthly,Number of Deaths,639
FLORIDA,2022,January,Monthly,Number of Deaths,25229
GEORGIA,2022,January,Monthly,Number of Deaths,11662
HAWAII,2022,January,Monthly,Number of Deaths,1317
IDAHO,2022,January,Monthly,Number of Deaths,1726
ILLINOIS,2022,January,Monthly,Number of Deaths,14903
INDIANA,2022,January,Monthly,Number of Deaths,8683
IOWA,2022,January,Monthly,Number of Deaths,3674
KANSAS,2022,January,Monthly,Number of Deaths,3849
KENTUCKY,2022,January,Monthly,Number of Deaths,6285
LOUISIANA,2022,January,Monthly,Number of Deaths,5684
MAINE,2022,January,Monthly,Number of Deaths,1758
MARYLAND,2022,January,Monthly,Number of Deaths,6701
MASSACHUSETTS,2022,January,Monthly,Number of Deaths,7065
MICHIGAN,2022,January,Monthly,Number of Deaths,12380
MINNESOTA,2022,January,Monthly,Number of Deaths,5343
MISSISSIPPI,2022,January,Monthly,Number of Deaths,4291
MISSOURI,2022,January,Monthly,Number of Deaths,8090
MONTANA,2022,January,Monthly,Number of Deaths,1199
NEBRASKA,2022,January,Monthly,Number of Deaths,2023
NEVADA,2022,January,Monthly,Number of Deaths,3546
NEW HAMPSHIRE,2022,January,Monthly,Number of Deaths,1490
NEW JERSEY,2022,January,Monthly,Number of Deaths,10443
NEW MEXICO,2022,January,Monthly,Number of Deaths,2728
NEW YORK,2022,January,Monthly,Number of Deaths,20595
NORTH CAROLINA,2022,January,Monthly,Number of Deaths,11948
NORTH DAKOTA,2022,January,Monthly,Number of Deaths,712
OHIO,2022,January,Monthly,Number of Deaths,16949
OKLAHOMA,2022,January,Monthly,Number of Deaths,5748
OREGON,2022,January,Monthly,Number of Deaths,4375
PENNSYLVANIA,2022,January,Monthly,Number of Deaths,17391
RHODE ISLAND,2022,January,Monthly,Number of Deaths,1204
SOUTH CAROLINA,2022,January,Monthly,Number of Deaths,6870
SOUTH DAKOTA,2022,January,Monthly,Number of Deaths,976
TENNESSEE,2022,January,Monthly,Number of Deaths,9260
TEXAS,2022,January,Monthly,Number of Deaths,27495
UTAH,2022,January,Monthly,Number of Deaths,2261
VERMONT,2022,January,Monthly,Number of Deaths,685
VIRGINIA,2022,January,Monthly,Number of Deaths,9483
WASHINGTON,2022,January,Monthly,Number of Deaths,7083
WEST VIRGINIA,2022,January,Monthly,Number of Deaths,2947
WISCONSIN,2022,January,Monthly,Number of Deaths,6765
WYOMING,2022,January,Monthly,Number of Deaths,597
PUERTO RICO,2022,January,Monthly,Number of Deaths,3711
ALABAMA,2022,February,Monthly,Number of Deaths,6076
ALASKA,2022,February,Monthly,Number of Deaths,446
ARIZONA,2022,February,Monthly,Number of Deaths,6792
ARKANSAS,2022,February,Monthly,Number of Deaths,3621
CALIFORNIA,2022,February,Monthly,Number of Deaths,28491
COLORADO,2022,February,Monthly,Number of Deaths,3887
CONNECTICUT,2022,February,Monthly,Number of Deaths,2944
DELAWARE,2022,February,Monthly,Number of Deaths,999
DISTRICT OF COLUMBIA,2022,February,Monthly,Number of Deaths,453
FLORIDA,2022,February,Monthly,Number of Deaths,21432
GEORGIA,2022,February,Monthly,Number of Deaths,9224
HAWAII,2022,February,Monthly,Number of Deaths,1128
IDAHO,2022,February,Monthly,Number of Deaths,1484
ILLINOIS,2022,February,Monthly,Number of Deaths,10407
INDIANA,2022,February,Monthly,Number of Deaths,6683
IOWA,2022,February,Monthly,Number of Deaths,2955
KANSAS,2022,February,Monthly,Number of Deaths,2844
KENTUCKY,2022,February,Monthly,Number of Deaths,5253
LOUISIANA,2022,February,Monthly,Number of Deaths,4818
MAINE,2022,February,Monthly,Number of Deaths,1402
MARYLAND,2022,February,Monthly,Number of Deaths,4597
MASSACHUSETTS,2022,February,Monthly,Number of Deaths,5260
MICHIGAN,2022,February,Monthly,Number of Deaths,9286
MINNESOTA,2022,February,Monthly,Number of Deaths,4230
MISSISSIPPI,2022,February,Monthly,Number of Deaths,3543
MISSOURI,2022,February,Monthly,Number of Deaths,6310
MONTANA,2022,February,Monthly,Number of Deaths,1036
NEBRASKA,2022,February,Monthly,Number of Deaths,1636
NEVADA,2022,February,Monthly,Number of Deaths,2847
NEW HAMPSHIRE,2022,February,Monthly,Number of Deaths,1201
NEW JERSEY,2022,February,Monthly,Number of Deaths,6871
NEW MEXICO,2022,February,Monthly,Number of Deaths,2126
NEW YORK,2022,February,Monthly,Number of Deaths,14485
NORTH CAROLINA,2022,February,Monthly,Number of Deaths,9571
NORTH DAKOTA,2022,February,Monthly,Number of Deaths,623
OHIO,2022,February,Monthly,Number of Deaths,11929
OKLAHOMA,2022,February,Monthly,Number of Deaths,4498
OREGON,2022,February,Monthly,Number of Deaths,3830
PENNSYLVANIA,2022,February,Monthly,Number of Deaths,12525
RHODE ISLAND,2022,February,Monthly,Number of Deaths,918
SOUTH CAROLINA,2022,February,Monthly,Number of Deaths,5620
SOUTH DAKOTA,2022,February,Monthly,Number of Deaths,809
TENNESSEE,2022,February,Monthly,Number of Deaths,7904
TEXAS,2022,February,Monthly,Number of Deaths,22765
UTAH,2022,February,Monthly,Number of Deaths,1864
VERMONT,2022,February,Monthly,Number of Deaths,578
VIRGINIA,2022,February,Monthly,Number of Deaths,7216
WASHINGTON,2022,February,Monthly,Number of Deaths,5718
WEST VIRGINIA,2022,February,Monthly,Number of Deaths,2585
WISCONSIN,2022,February,Monthly,Number of Deaths,5121
WYOMING,2022,February,Monthly,Number of Deaths,533
PUERTO RICO,2022,February,Monthly,Number of Deaths,2680
ALABAMA,2022,March,Monthly,Number of Deaths,5104
ALASKA,2022,March,Monthly,Number of Deaths,461
ARIZONA,2022,March,Monthly,Number of Deaths,6254
ARKANSAS,2022,March,Monthly,Number of Deaths,3243
CALIFORNIA,2022,March,Monthly,Number of Deaths,25427
COLORADO,2022,March,Monthly,Number of Deaths,3859
CONNECTICUT,2022,March,Monthly,Number of Deaths,2759
DELAWARE,2022,March,Monthly,Number of Deaths,934
DISTRICT OF COLUMBIA,2022,March,Monthly,Number of Deaths,455
FLORIDA,2022,March,Monthly,Number of Deaths,20242
GEORGIA,2022,March,Monthly,Number of Deaths,8304
HAWAII,2022,March,Monthly,Number of Deaths,1014
IDAHO,2022,March,Monthly,Number of Deaths,1394
ILLINOIS,2022,March,Monthly,Number of Deaths,9762
INDIANA,2022,March,Monthly,Number of Deaths,6076
IOWA,2022,March,Monthly,Number of Deaths,2779
KANSAS,2022,March,Monthly,Number of Deaths,2669
KENTUCKY,2022,March,Monthly,Number of Deaths,4828
LOUISIANA,2022,March,Monthly,Number of Deaths,4395
MAINE,2022,March,Monthly,Number of Deaths,1421
MARYLAND,2022,March,Monthly,Number of Deaths,4597
MASSACHUSETTS,2022,March,Monthly,Number of Deaths,5047
MICHIGAN,2022,March,Monthly,Number of Deaths,8930
MINNESOTA,2022,March,Monthly,Number of Deaths,4140
MISSISSIPPI,2022,March,Monthly,Number of Deaths,3097
MISSOURI,2022,March,Monthly,Number of Deaths,5795
MONTANA,2022,March,Monthly,Number of Deaths,995
NEBRASKA,2022,March,Monthly,Number of Deaths,1525
NEVADA,2022,March,Monthly,Number of Deaths,2531
NEW HAMPSHIRE,2022,March,Monthly,Number of Deaths,1192
NEW JERSEY,2022,March,Monthly,Number of Deaths,6534
NEW MEXICO,2022,March,Monthly,Number of Deaths,1982
NEW YORK,2022,March,Monthly,Number of Deaths,13776
NORTH CAROLINA,2022,March,Monthly,Number of Deaths,8710
NORTH DAKOTA,2022,March,Monthly,Number of Deaths,581
OHIO,2022,March,Monthly,Number of Deaths,11154
OKLAHOMA,2022,March,Monthly,Number of Deaths,4058
OREGON,2022,March,Monthly,Number of Deaths,3627
PENNSYLVANIA,2022,March,Monthly,Number of Deaths,11925
RHODE ISLAND,2022,March,Monthly,Number of Deaths,852
SOUTH CAROLINA,2022,March,Monthly,Number of Deaths,4914
SOUTH DAKOTA,2022,March,Monthly,Number of Deaths,722
TENNESSEE,2022,March,Monthly,Number of Deaths,7024
TEXAS,2022,March,Monthly,Number of Deaths,20161
UTAH,2022,March,Monthly,Number of Deaths,1843
VERMONT,2022,March,Monthly,Number of Deaths,575
VIRGINIA,2022,March,Monthly,Number of Deaths,6819
WASHINGTON,2022,March,Monthly,Number of Deaths,5501
WEST VIRGINIA,2022,March,Monthly,Number of Deaths,2443
WISCONSIN,2022,March,Monthly,Number of Deaths,4894
WYOMING,2022,March,Monthly,Number of Deaths,472
PUERTO RICO,2022,March,Monthly,Number of Deaths,2730
ALABAMA,2022,April,Monthly,Number of Deaths,4641
ALASKA,2022,April,Monthly,Number of Deaths,426
ARIZONA,2022,April,Monthly,Number of Deaths,5590
ARKANSAS,2022,April,Monthly,Number of Deaths,2845
CALIFORNIA,2022,April,Monthly,Number of Deaths,23212
COLORADO,2022,April,Monthly,Number of Deaths,3577
CONNECTICUT,2022,April,Monthly,Number of Deaths,2685
DELAWARE,2022,April,Monthly,Number of Deaths,868
DISTRICT OF COLUMBIA,2022,April,Monthly,Number of Deaths,397
FLORIDA,2022,April,Monthly,Number of Deaths,18394
GEORGIA,2022,April,Monthly,Number of Deaths,7689
HAWAII,2022,April,Monthly,Number of Deaths,1022
IDAHO,2022,April,Monthly,Number of Deaths,1299
ILLINOIS,2022,April,Monthly,Number of Deaths,9156
INDIANA,2022,April,Monthly,Number of Deaths,5571
IOWA,2022,April,Monthly,Number of Deaths,2565
KANSAS,2022,April,Monthly,Number of Deaths,2282
KENTUCKY,2022,April,Monthly,Number of Deaths,4399
LOUISIANA,2022,April,Monthly,Number of Deaths,3945
MAINE,2022,April,Monthly,Number of Deaths,1316
MARYLAND,2022,April,Monthly,Number of Deaths,4200
MASSACHUSETTS,2022,April,Monthly,Number of Deaths,4717
MICHIGAN,2022,April,Monthly,Number of Deaths,8388
MINNESOTA,2022,April,Monthly,Number of Deaths,3926
MISSISSIPPI,2022,April,Monthly,Number of Deaths,2800
MISSOURI,2022,April,Monthly,Number of Deaths,5344
MONTANA,2022,April,Monthly,Number of Deaths,840
