State,Year,Month,Period,Indicator,Data Value
UNITED STATES,2022,July,12 Month-ending,Number of Live Births,3672000
UNITED STATES,2022,August,12 Month-ending,Number of Live Births,3678000
UNITED STATES,2022,September,12 Month-ending,Number of Live Births,3665000
UNITED STATES,2022,October,12 Month-ending,Number of Live Births,3656000
UNITED STATES,2022,November,12 Month-ending,Number of Live Births,3661000
UNITED STATES,2022,December,12 Month-ending,Number of Live Births,3664000
UNITED STATES,2021,January,12 Month-ending,Number of Deaths,3492000
UNITED STATES,2021,February,12 Month-ending,Number of Deaths,3530000
UNITED STATES,2021,March,12 Month-ending,Number of Deaths,3531000
UNITED STATES,2021,April,12 Month-ending,Number of Deaths,3465000
UNITED STATES,2021,May,12 Month-ending,Number of Deaths,3443000
UNITED STATES,2021,June,12 Month-ending,Number of Deaths,3438000
UNITED STATES,2021,July,12 Month-ending,Number of Deaths,3417000
UNITED STATES,2021,August,12 Month-ending,Number of Deaths,3443000
UNITED STATES,2021,September,12 Month-ending,Number of Deaths,3498000
UNITED STATES,2021,October,12 Month-ending,Number of Deaths,3525000
UNITED STATES,2021,November,12 Month-ending,Number of Deaths,3511000
UNITED STATES,2021,December,12 Month-ending,Number of Deaths,3464000
UNITED STATES,2022,January,12 Month-ending,Number of Deaths,3460000
UNITED STATES,2022,February,12 Month-ending,Number of Deaths,3467000
UNITED STATES,2022,March,12 Month-ending,Number of Deaths,3465000
UNITED STATES,2022,April,12 Month-ending,Number of Deaths,3454000
UNITED STATES,2022,May,12 Month-ending,Number of Deaths,3451000
UNITED STATES,2022,June,12 Month-ending,Number of Deaths,3454000
UNITED STATES,2022,July,12 Month-ending,Number of Deaths,3457000
UNITED STATES,2022,August,12 Month-ending,Number of Deaths,3413000
UNITED STATES,2022,September,12 Month-ending,Number of Deaths,3352000
UNITED STATES,2022,October,12 Month-ending,Number of Deaths,3316000
UNITED STATES,2022,November,12 Month-ending,Number of Deaths,3295000
UNITED STATES,2022,December,12 Month-ending,Number of Deaths,3273000
UNITED STATES,2021,January,12 Month-ending,Number of Infant Deaths,19400
UNITED STATES,2021,February,12 Month-ending,Number of Infant Deaths,19200
UNITED STATES,2021,March,12 Month-ending,Number of Infant Deaths,19200
UNITED STATES,2021,April,12 Month-ending,Number of Infant Deaths,19300
UNITED STATES,2021,May,12 Month-ending,Number of Infant Deaths,19300
UNITED STATES,2021,June,12 Month-ending,Number of Infant Deaths,19200
UNITED STATES,2021,July,12 Month-ending,Number of Infant Deaths,19300
UNITED STATES,2021,August,12 Month-ending,Number of Infant Deaths,19400
UNITED STATES,2021,September,12 Month-ending,Number of Infant Deaths,19500
UNITED STATES,2021,October,12 Month-ending,Number of Infant Deaths,19600
UNITED STATES,2021,November,12 Month-ending,Number of Infant Deaths,19700
UNITED STATES,2021,December,12 Month-ending,Number of Infant Deaths,19900
UNITED STATES,2022,January,12 Month-ending,Number of Infant Deaths,19900
UNITED STATES,2022,February,12 Month-ending,Number of Infant Deaths,19900
UNITED STATES,2022,March,12 Month-ending,Number of Infant Deaths,20000
UNITED STATES,2022,April,12 Month-ending,Number of Infant Deaths,19900
UNITED STATES,2022,May,12 Month-ending,Number of Infant Deaths,19900
UNITED STATES,2022,June,12 Month-ending,Number of Infant Deaths,20000
UNITED STATES,2022,July,12 Month-ending,Number of Infant Deaths,20100
UNITED STATES,2022,August,12 Month-ending,Number of Infant Deaths,20200
UNITED STATES,2022,September,12 Month-ending,Number of Infant Deaths,20200
UNITED STATES,2022,October,12 Month-ending,Number of Infant Deaths,20200
UNITED STATES,2022,November,12 Month-ending,Number of Infant Deaths,20200
UNITED STATES,2022,December,12 Month-ending,Number of Infant Deaths,20100
ALABAMA,2021,January,Monthly,Number of Deaths,7972
ALASKA,2021,January,Monthly,Number of Deaths,488
ARIZONA,2021,January,Monthly,Number of Deaths,10191
ARKANSAS,2021,January,Monthly,Number of Deaths,4273
CALIFORNIA,2021,January,Monthly,Number of Deaths,47952
COLORADO,2021,January,Monthly,Number of Deaths,4357
CONNECTICUT,2021,January,Monthly,Number of Deaths,3772
DELAWARE,2021,January,Monthly,Number of Deaths,1216
DISTRICT OF COLUMBIA,2021,January,Monthly,Number of Deaths,626
FLORIDA,2021,January,Monthly,Number of Deaths,24609
GEORGIA,2021,January,Monthly,Number of Deaths,12891
HAWAII,2021,January,Monthly,Number of Deaths,982
IDAHO,2021,January,Monthly,Number of Deaths,1517
ILLINOIS,2021,January,Monthly,Number of Deaths,12287
INDIANA,2021,January,Monthly,Number of Deaths,8052
IOWA,2021,January,Monthly,Number of Deaths,3279
KANSAS,2021,January,Monthly,Number of Deaths,3380
KENTUCKY,2021,January,Monthly,Number of Deaths,5888
LOUISIANA,2021,January,Monthly,Number of Deaths,5939
MAINE,2021,January,Monthly,Number of Deaths,1557
MARYLAND,2021,January,Monthly,Number of Deaths,6111
MASSACHUSETTS,2021,January,Monthly,Number of Deaths,6765
MICHIGAN,2021,January,Monthly,Number of Deaths,10521
MINNESOTA,2021,January,Monthly,Number of Deaths,4586
MISSISSIPPI,2021,January,Monthly,Number of Deaths,4580
MISSOURI,2021,January,Monthly,Number of Deaths,7349
MONTANA,2021,January,Monthly,Number of Deaths,1045
NEBRASKA,2021,January,Monthly,Number of Deaths,1786
NEVADA,2021,January,Monthly,Number of Deaths,3545
NEW HAMPSHIRE,2021,January,Monthly,Number of Deaths,1441
NEW JERSEY,2021,January,Monthly,Number of Deaths,9216
NEW MEXICO,2021,January,Monthly,Number of Deaths,2500
NEW YORK,2021,January,Monthly,Number of Deaths,20337
NORTH CAROLINA,2021,January,Monthly,Number of Deaths,12944
NORTH DAKOTA,2021,January,Monthly,Number of Deaths,612
OHIO,2021,January,Monthly,Number of Deaths,15162
OKLAHOMA,2021,January,Monthly,Number of Deaths,5706
OREGON,2021,January,Monthly,Number of Deaths,3844
PENNSYLVANIA,2021,January,Monthly,Number of Deaths,16892
RHODE ISLAND,2021,January,Monthly,Number of Deaths,1236
SOUTH CAROLINA,2021,January,Monthly,Number of Deaths,7353
SOUTH DAKOTA,2021,January,Monthly,Number of Deaths,892
TENNESSEE,2021,January,Monthly,Number of Deaths,9599
TEXAS,2021,January,Monthly,Number of Deaths,30254
UTAH,2021,January,Monthly,Number of Deaths,2126
VERMONT,2021,January,Monthly,Number of Deaths,578
VIRGINIA,2021,January,Monthly,Number of Deaths,9170
WASHINGTON,2021,January,Monthly,Number of Deaths,6039
WEST VIRGINIA,2021,January,Monthly,Number of Deaths,3009
WISCONSIN,2021,January,Monthly,Number of Deaths,5700
WYOMING,2021,January,Monthly,Number of Deaths,573
PUERTO RICO,2021,January,Monthly,Number of Deaths,2983
ALABAMA,2021,February,Monthly,Number of Deaths,5661
ALASKA,2021,February,Monthly,Number of Deaths,376
ARIZONA,2021,February,Monthly,Number of Deaths,6627
ARKANSAS,2021,February,Monthly,Number of Deaths,3290
CALIFORNIA,2021,February,Monthly,Number of Deaths,29920
COLORADO,2021,February,Monthly,Number of Deaths,3447
CONNECTICUT,2021,February,Monthly,Number of Deaths,2834
DELAWARE,2021,February,Monthly,Number of Deaths,906
DISTRICT OF COLUMBIA,2021,February,Monthly,Number of Deaths,494
FLORIDA,2021,February,Monthly,Number of Deaths,20693
GEORGIA,2021,February,Monthly,Number of Deaths,9324
HAWAII,2021,February,Monthly,Number of Deaths,995
IDAHO,2021,February,Monthly,Number of Deaths,1236
ILLINOIS,2021,February,Monthly,Number of Deaths,10049
INDIANA,2021,February,Monthly,Number of Deaths,5952
IOWA,2021,February,Monthly,Number of Deaths,2533
KANSAS,2021,February,Monthly,Number of Deaths,2510
KENTUCKY,2021,February,Monthly,Number of Deaths,4619
LOUISIANA,2021,February,Monthly,Number of Deaths,4622
MAINE,2021,February,Monthly,Number of Deaths,1217
MARYLAND,2021,February,Monthly,Number of Deaths,4916
MASSACHUSETTS,2021,February,Monthly,Number of Deaths,5356
MICHIGAN,2021,February,Monthly,Number of Deaths,8610
MINNESOTA,2021,February,Monthly,Number of Deaths,3748
MISSISSIPPI,2021,February,Monthly,Number of Deaths,3381
MISSOURI,2021,February,Monthly,Number of Deaths,5654
MONTANA,2021,February,Monthly,Number of Deaths,864
NEBRASKA,2021,February,Monthly,Number of Deaths,1318
NEVADA,2021,February,Monthly,Number of Deaths,2604
NEW HAMPSHIRE,2021,February,Monthly,Number of Deaths,1060
NEW JERSEY,2021,February,Monthly,Number of Deaths,7575
NEW MEXICO,2021,February,Monthly,Number of Deaths,1880
NEW YORK,2021,February,Monthly,Number of Deaths,16483
NORTH CAROLINA,2021,February,Monthly,Number of Deaths,9691
NORTH DAKOTA,2021,February,Monthly,Number of Deaths,514
OHIO,2021,February,Monthly,Number of Deaths,11611
OKLAHOMA,2021,February,Monthly,Number of Deaths,4069
OREGON,2021,February,Monthly,Number of Deaths,3230
PENNSYLVANIA,2021,February,Monthly,Number of Deaths,12429
RHODE ISLAND,2021,February,Monthly,Number of Deaths,938
SOUTH CAROLINA,2021,February,Monthly,Number of Deaths,5413
SOUTH DAKOTA,2021,February,Monthly,Number of Deaths,701
TENNESSEE,2021,February,Monthly,Number of Deaths,6898
TEXAS,2021,February,Monthly,Number of Deaths,23729
UTAH,2021,February,Monthly,Number of Deaths,1676
VERMONT,2021,February,Monthly,Number of Deaths,597
VIRGINIA,2021,February,Monthly,Number of Deaths,7294
WASHINGTON,2021,February,Monthly,Number of Deaths,5071
WEST VIRGINIA,2021,February,Monthly,Number of Deaths,2245
WISCONSIN,2021,February,Monthly,Number of Deaths,4541
WYOMING,2021,February,Monthly,Number of Deaths,458
PUERTO RICO,2021,February,Monthly,Number of Deaths,2562
ALABAMA,2021,March,Monthly,Number of Deaths,5174
ALASKA,2021,March,Monthly,Number of Deaths,433
ARIZONA,2021,March,Monthly,Number of Deaths,6080
ARKANSAS,2021,March,Monthly,Number of Deaths,3111
CALIFORNIA,2021,March,Monthly,Number of Deaths,26686
COLORADO,2021,March,Monthly,Number of Deaths,3808
CONNECTICUT,2021,March,Monthly,Number of Deaths,2857
DELAWARE,2021,March,Monthly,Number of Deaths,918
DISTRICT OF COLUMBIA,2021,March,Monthly,Number of Deaths,491
FLORIDA,2021,March,Monthly,Number of Deaths,20363
GEORGIA,2021,March,Monthly,Number of Deaths,8405
HAWAII,2021,March,Monthly,Number of Deaths,1068
IDAHO,2021,March,Monthly,Number of Deaths,1363
ILLINOIS,2021,March,Monthly,Number of Deaths,9718
INDIANA,2021,March,Monthly,Number of Deaths,5869
IOWA,2021,March,Monthly,Number of Deaths,2474
KANSAS,2021,March,Monthly,Number of Deaths,2431
KENTUCKY,2021,March,Monthly,Number of Deaths,4676
LOUISIANA,2021,March,Monthly,Number of Deaths,4557
MAINE,2021,March,Monthly,Number of Deaths,1274
MARYLAND,2021,March,Monthly,Number of Deaths,4984
MASSACHUSETTS,2021,March,Monthly,Number of Deaths,5168
MICHIGAN,2021,March,Monthly,Number of Deaths,9034
MINNESOTA,2021,March,Monthly,Number of Deaths,3872
MISSISSIPPI,2021,March,Monthly,Number of Deaths,3155
MISSOURI,2021,March,Monthly,Number of Deaths,5655
MONTANA,2021,March,Monthly,Number of Deaths,884
NEBRASKA,2021,March,Monthly,Number of Deaths,1453
NEVADA,2021,March,Monthly,Number of Deaths,2497
NEW HAMPSHIRE,2021,March,Monthly,Number of Deaths,1051
NEW JERSEY,2021,March,Monthly,Number of Deaths,7371
NEW MEXICO,2021,March,Monthly,Number of Deaths,2032
NEW YORK,2021,March,Monthly,Number of Deaths,15816
NORTH CAROLINA,2021,March,Monthly,Number of Deaths,8931
NORTH DAKOTA,2021,March,Monthly,Number of Deaths,586
OHIO,2021,March,Monthly,Number of Deaths,11015
OKLAHOMA,2021,March,Monthly,Number of Deaths,3778
OREGON,2021,March,Monthly,Number of Deaths,3527
PENNSYLVANIA,2021,March,Monthly,Number of Deaths,12006
RHODE ISLAND,2021,March,Monthly,Number of Deaths,936
SOUTH CAROLINA,2021,March,Monthly,Number of Deaths,5035
SOUTH DAKOTA,2021,March,Monthly,Number of Deaths,722
TENNESSEE,2021,March,Monthly,Number of Deaths,6760
TEXAS,2021,March,Monthly,Number of Deaths,20769
UTAH,2021,March,Monthly,Number of Deaths,1706
VERMONT,2021,March,Monthly,Number of Deaths,514
VIRGINIA,2021,March,Monthly,Number of Deaths,6815
WASHINGTON,2021,March,Monthly,Number of Deaths,5268
WEST VIRGINIA,2021,March,Monthly,Number of Deaths,2271
WISCONSIN,2021,March,Monthly,Number of Deaths,4572
WYOMING,2021,March,Monthly,Number of Deaths,451
PUERTO RICO,2021,March,Monthly,Number of Deaths,2763
ALABAMA,2021,April,Monthly,Number of Deaths,5068
ALASKA,2021,April,Monthly,Number of Deaths,427
ARIZONA,2021,April,Monthly,Number of Deaths,5452
ARKANSAS,2021,April,Monthly,Number of Deaths,2834
CALIFORNIA,2021,April,Monthly,Number of Deaths,23185
COLORADO,2021,April,Monthly,Number of Deaths,3504
CONNECTICUT,2021,April,Monthly,Number of Deaths,2570
DELAWARE,2021,April,Monthly,Number of Deaths,854
DISTRICT OF COLUMBIA,2021,April,Monthly,Number of Deaths,459
FLORIDA,2021,April,Monthly,Number of Deaths,19554
GEORGIA,2021,April,Monthly,Number of Deaths,8027
HAWAII,2021,April,Monthly,Number of Deaths,1010
IDAHO,2021,April,Monthly,Number of Deaths,1277
ILLINOIS,2021,April,Monthly,Number of Deaths,9654
INDIANA,2021,April,Monthly,Number of Deaths,5744
